Country Name,Date,CO2 emissions (metric tons per capita),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)"
France,2007,5.6690313848081,7.33408403,3065.91113162,4.4
France,2008,5.56442899965839,7.4163928,3395.28622912,4.4
France,2009,5.31441442186309,7.97806454,3348.52673268,4.3
France,2010,5.3506589250195,7.9076767,3235.02319063,4.2
France,2011,5.10431227537594,7.85247898,3462.4546035,4.2
France,2012,5.12231119022055,7.94105148,3264.73091351,4.1
France,2013,5.10055617017218,8.04127502,3446.7926605,4.1
France,2014,4.59237682939366,8.13847065,3512.86115662,4.1
France,2015,4.66608659650847,8.2843132,3040.56193262,4.2
France,2016,4.68661220239091,8.61875916,3198.44076509,4.2
France,2017,4.72757562163375,8.59649086,3339.20692284,4.3
France,2018,4.61924120513374,8.49391079,3536.84388269,4.3
Germany,2002,10.1005600841669,7.92531824,1998.13063515,5.1
Germany,2003,10.1358011982818,8.05242443,2440.64435164,5.0
Germany,2004,9.9474939848219,7.70044041,2625.87125189,4.9
Germany,2005,9.72687792088563,7.80344439,2692.74223804,4.7
Germany,2006,9.88340709166992,7.65940762,2782.41219223,4.6
Germany,2007,9.52515567357219,7.55543995,3144.23806228,4.5
Germany,2008,9.61574798772921,7.71768188,3515.62929409,4.4
Germany,2009,8.9699549000494,8.50212383,3536.84400823,4.3
Germany,2010,9.4515653742443,8.39900112,3490.59017758,4.2
Germany,2011,9.29779081983736,8.12801647,3798.76654131,4.1
Germany,2012,9.44994992466537,8.18807316,3595.32765894,4.0
Germany,2013,9.64255894664068,8.40567684,3897.62802823,4.0
Germany,2014,9.10678232951564,8.48952866,4087.85582136,4.0
Germany,2015,9.08729093927033,8.60765076,3559.33680655,3.9
Germany,2016,9.0730063894536,8.68237877,3666.12057286,3.9
Germany,2017,8.85829369906254,8.80528641,3929.43540244,3.9
Germany,2018,8.55838981170216,8.88178158,4252.24100183,3.8
India,2002,0.903241997603391,0.77020192,3.67565856,84.5
India,2003,0.913962074164491,0.75024331,4.11719685,81.1
India,2004,0.962435743168246,0.71163464,4.50721688,77.8
India,2005,0.991399582912634,0.76303685,5.56846623,74.4
India,2006,1.04183979629495,0.7453534,6.06210023,71.1
India,2007,1.1292167893744,0.73512703,7.49355412,67.9
India,2008,1.18590477170691,0.79527897,8.57171899,64.6
India,2009,1.28808099727395,0.89261264,9.80957714,61.4
India,2010,1.34921446581292,0.85750186,11.82685003,58.2
India,2011,1.40831559281322,0.93731916,14.03344591,55.0
India,2012,1.50782097489256,0.93186861,13.69979178,52.0
India,2013,1.5355600591395,0.86504191,12.94719751,49.0
India,2014,1.6493275187685,0.85653549,13.50609052,46.2
India,2015,1.64119839274392,0.92193186,15.10636847,43.5
India,2016,1.64835905308142,0.94049966,16.26476444,41.0
India,2017,1.71919020043,0.96734679,18.96377172,38.6
India,2018,1.79982544579379,0.8878178,18.12649097,36.3
Italy,2002,7.77212964817281,5.89694309,1321.17311345,5.0
Italy,2003,8.06445942307569,5.90086746,1629.48603057,4.8
Italy,2004,8.1894309102209,6.22569847,1956.13715899,4.6
Italy,2005,8.1737832960528,6.46201897,2074.79723855,4.5
Italy,2006,8.02576652003813,6.55959702,2202.43568569,4.3
Italy,2007,7.86076804753594,6.30452633,2396.37122443,4.2
Italy,2008,7.56424830065774,6.62789488,2721.82867815,4.1
Italy,2009,6.71897026103485,7.00957918,2613.62973054,4.1
Italy,2010,6.8368363621512,6.9949379,2524.38775333,4.0
Italy,2011,6.68059415640586,6.7571559,2612.2653196,3.9
Italy,2012,6.32770894762567,6.66466141,2341.78854443,3.8
Italy,2013,5.75173986603037,6.64814186,2385.81957867,3.7
Italy,2014,5.38731095718742,6.68862152,2379.11038565,3.6
Italy,2015,5.56325970991024,6.59266424,1991.64731916,3.5
Italy,2016,5.49816520549801,6.49173546,2008.62916292,3.4
Italy,2017,5.43785754854959,6.39856386,2071.75876188,3.3
Italy,2018,5.37637433931087,6.40597105,2215.82254214,3.2
Japan,2002,9.47051669347562,5.93724489,1941.82335998,4.1
Japan,2003,9.51925335504784,5.98652935,2112.82531678,4.0
Japan,2004,9.47934033077387,6.04880905,2308.63292169,3.9
Japan,2005,9.49981608007952,6.21599388,2340.31588057,3.7
Japan,2006,9.30952492686971,6.17422676,2212.35827511,3.6
Japan,2007,9.58086264951055,6.32067156,2252.79646567,3.5
Japan,2008,9.05507445554141,6.56596708,2608.57645934,3.4
Japan,2009,8.60004529586792,7.28296947,2996.6288672,3.3
Japan,2010,9.02693839306629,7.42507124,3326.64826148,3.2
Japan,2011,9.48244975866952,8.78255081,4260.18442164,3.2
Japan,2012,9.81140649852306,8.9568243,4374.62148788,3.0
Japan,2013,9.89367962650555,8.99433613,3653.64319374,2.9
Japan,2014,9.58405355290864,9.02501678,3448.22713737,2.8
Japan,2015,9.29283236721435,9.03866768,3139.1343552,2.7
Japan,2016,9.22394197021634,8.95745564,3508.06775066,2.7
Japan,2017,9.08563914300274,8.97414494,3470.51808866,2.6
Japan,2018,8.7422577098865,9.00402641,3565.37163173,2.6
"Korea, Rep.",2002,9.69550969911975,2.35344291,307.41611631,6.8
"Korea, Rep.",2003,9.70113586037681,2.47796965,360.80137839,6.4
"Korea, Rep.",2004,10.084746183951,2.48939943,406.84447409,6.0
"Korea, Rep.",2005,9.96335735008564,2.63443613,505.62095832,5.6
"Korea, Rep.",2006,10.0527904658571,2.91707134,628.17322602,5.2
"Korea, Rep.",2007,10.3012022232192,3.01493216,720.89623109,4.8
"Korea, Rep.",2008,10.4615850531615,3.09052038,659.27454895,4.5
"Korea, Rep.",2009,10.6553045778627,3.42186904,654.38968728,4.3
"Korea, Rep.",2010,11.588543852829,3.51182413,810.641688,4.1
"Korea, Rep.",2011,11.9609574036602,3.51881123,885.80626976,4.0
"Korea, Rep.",2012,11.9315090424667,3.53646016,902.85722023,3.8
"Korea, Rep.",2013,11.8511425582949,3.61362767,983.78915503,3.7
"Korea, Rep.",2014,11.5475582343263,3.71141768,1088.67512654,3.6
"Korea, Rep.",2015,11.8888685702251,3.81570315,1100.67472474,3.5
"Korea, Rep.",2016,12.003248167439,3.97724891,1169.90883946,3.4
"Korea, Rep.",2017,12.175364736721,4.11588812,1307.40900946,3.3
"Korea, Rep.",2018,12.229704190698,4.40991306,1486.90499602,3.2
Mexico,2002,3.82299161357153,2.16505718,164.39648853,26.0
Mexico,2003,3.94835053048563,2.4137032,170.77811837,24.9
Mexico,2004,3.96297432479841,2.58744621,193.65762897,23.9
Mexico,2005,4.07895088239964,2.46497631,204.04278275,22.9
Mexico,2006,4.18100922223476,2.4219811,219.63152988,22.1
Mexico,2007,4.2356679441149,2.52675962,243.64752612,21.3
Mexico,2008,4.30816070189315,2.61655498,262.08870952,20.6
Mexico,2009,4.10585136636662,2.86067677,228.93957511,19.9
Mexico,2010,4.11015715509391,2.8809936,267.10822575,19.2
Mexico,2011,4.1571204846157,2.91415977,297.34338054,18.5
Mexico,2012,4.09902758114925,3.00721955,307.99222162,17.9
Mexico,2013,3.95414657649222,3.12253189,334.89746987,17.3
Mexico,2014,3.80806346471111,2.89231014,316.09936685,16.8
Mexico,2015,3.87819450978334,2.98734331,287.2827939,16.2
Mexico,2016,3.88580937201112,2.84779787,249.02669485,15.7
Mexico,2017,3.78121582762561,2.75801349,256.15990972,15.2
Mexico,2018,3.74147772536983,2.6718502,258.80856865,14.6
Poland,2002,7.51444584728516,4.24438095,220.94201269,8.4
Poland,2003,7.79226150169993,4.0827384,232.69796499,8.1
Poland,2004,7.90472592192251,3.95899224,264.45445015,7.8
Poland,2005,7.89588592508223,3.97908211,319.11380912,7.6
Poland,2006,8.23491259480184,4.0025959,361.50621221,7.3
Poland,2007,8.22049833475689,4.09294081,460.57298699,7.0
Poland,2008,8.08692097119955,4.53992844,635.56708166,6.7
Poland,2009,7.79154679293554,4.72637177,544.98155393,6.3
Poland,2010,8.2470283334079,4.57513046,577.36409892,6.0
Poland,2011,8.15983814311204,4.43206882,615.15039401,5.7
Poland,2012,7.96964750486849,4.34607458,569.2004259,5.4
Poland,2013,7.84249376633075,4.50933599,617.25390684,5.2
Poland,2014,7.51715226889801,4.46653366,637.32154653,5.0
Poland,2015,7.60929987280715,4.43369961,557.41096533,4.9
Poland,2016,7.89410885468869,4.49653769,559.74868429,4.7
Poland,2017,8.2375624314908,4.51487017,625.99757797,4.6
Poland,2018,8.23547225459022,4.49809456,695.74820078,4.5
Portugal,2002,6.29676809092376,6.32552147,820.27834889,6.1
Portugal,2003,5.78650308672459,6.44214296,1019.10206712,5.5
Portugal,2004,5.92625178834401,6.72644234,1216.32892542,5.0
Portugal,2005,6.23326126095248,6.84422255,1286.41444308,4.6
Portugal,2006,5.74494824699723,5.93430281,1178.48650964,4.4
Portugal,2007,5.57717924484993,5.8018589,1324.76991499,4.2
Portugal,2008,5.38350512593225,5.98957777,1495.02653771,4.0
Portugal,2009,5.32727897067508,6.46387577,1497.20646719,3.9
Portugal,2010,4.81788690166555,6.67315197,1502.7827684,3.8
Portugal,2011,4.72362932344216,6.27685404,1455.22584268,3.7
Portugal,2012,4.58589780314382,5.91590166,1213.34965289,3.7
Portugal,2013,4.45239423770679,5.85821247,1264.86258878,3.7
Portugal,2014,4.41589522300703,5.76832533,1271.80531652,3.6
Portugal,2015,4.81266984331839,5.74543381,1104.21738617,3.6
Portugal,2016,4.72231143004684,5.78449821,1154.66028991,3.6
Portugal,2017,5.1775191013854,5.68938971,1221.57384167,3.6
Portugal,2018,4.84061276050869,5.75663471,1355.4599458,3.6
Singapore,2002,9.90672781043834,1.05214131,237.21593583,3.4
Singapore,2003,9.28836359058682,1.3372829,316.235901,3.2
Singapore,2004,9.50880608563589,1.02267361,281.6274809,3.0
Singapore,2005,8.6502716279061,1.00069582,299.82681087,2.9
Singapore,2006,8.44510737009996,0.99547803,336.08398234,2.9
Singapore,2007,8.34459494063439,0.95031679,375.55390104,2.9
Singapore,2008,7.93900726454293,1.19189215,483.20935577,2.8
Singapore,2009,7.78534970816467,1.18541074,463.39071107,2.8
Singapore,2010,8.35379925511136,1.14910603,537.04036817,2.8
Singapore,2011,8.63670807347973,1.17214501,622.09171601,2.8
Singapore,2012,8.22409752812127,1.30787134,718.773991,2.8
Singapore,2013,8.13459570207377,1.53696895,866.80926134,2.8
Singapore,2014,8.12838088356926,1.74364483,993.5713581,2.7
Singapore,2015,8.22041256714993,1.96816158,1084.00261445,2.7
Singapore,2016,8.23215093655876,2.07930946,1172.31864715,2.7
Singapore,2017,8.45115143597411,2.10644555,1267.00037728,2.6
Singapore,2018,8.39913483236136,2.04291058,1334.03955415,2.5
Spain,2002,7.54859375551361,4.89811945,845.99762344,5.1
Spain,2003,7.55339626091952,5.37842989,1166.89728513,5.0
Spain,2004,7.81792136623977,5.46495342,1373.13430626,4.9
Spain,2005,8.02920201300456,5.53264093,1474.28104812,4.7
Spain,2006,7.69821258801686,5.64479733,1616.60957876,4.5
Spain,2007,7.84225230335206,5.72513008,1884.31933377,4.4
Spain,2008,7.05399426114393,6.14247751,2194.85733358,4.2
Spain,2009,6.2008570378595,6.83674145,2205.22731747,4.0
Spain,2010,5.86664242575026,6.78822565,2076.63863293,3.8
Spain,2011,5.87043576026433,6.73760843,2137.78672366,3.7
Spain,2012,5.75694702858302,6.6031642,1868.3978521,3.6
Spain,2013,5.20806018098009,6.43856239,1867.22980314,3.5
Spain,2014,5.18406686000494,6.38650513,1882.80126215,3.4
Spain,2015,5.51794438614828,6.50834465,1675.23212926,3.3
Spain,2016,5.31429460704187,6.40582085,1700.64727485,3.3
Spain,2017,5.65403956917695,6.31750059,1782.14395662,3.3
Spain,2018,5.52035039972218,6.31789398,1925.69926152,3.3
Switzerland,2002,5.98098521665731,3.08993149,1320.92528445,5.4
Switzerland,2003,6.10982339421946,3.17492437,1576.10565356,5.3
Switzerland,2004,6.12750985334168,3.14565611,1732.26568006,5.2
Switzerland,2005,6.1650250130595,3.10609841,1761.6455246,5.1
Switzerland,2006,6.07701778235885,2.9180789,1736.13397544,4.9
Switzerland,2007,5.76603434962006,2.87561703,1890.15058554,4.8
Switzerland,2008,5.87891091083238,2.99652123,2250.53767604,4.7
Switzerland,2009,5.63932761445853,3.23709249,2346.02520129,4.6
Switzerland,2010,5.77770297392596,3.21735024,2493.58823462,4.6
Switzerland,2011,5.20575431114562,3.30035758,3027.88310133,4.5
Switzerland,2012,5.31083383842735,3.45818734,3008.8597743,4.4
Switzerland,2013,5.37497098034872,3.43032265,3041.3440123,4.4
Switzerland,2014,4.85183819699684,3.40755963,3074.46406524,4.3
Switzerland,2015,4.71240447812445,3.50238085,2985.30670673,4.3
Switzerland,2016,4.73049099415311,3.50250411,2925.79361537,4.2
Switzerland,2017,4.5694192033924,3.62295127,3031.3860417,4.2
Switzerland,2018,4.40199104356902,3.55291438,3081.6976749,4.1
Thailand,2002,2.85332586181609,2.07636881,43.52462533,19.9
Thailand,2003,2.95662886493631,2.04556918,48.25732626,18.9
Thailand,2004,3.21269369265038,2.01255631,53.53652151,18.0
Thailand,2005,3.30361647940084,2.013062,58.25922174,17.2
Thailand,2006,3.31380615305229,2.2303164,75.15147646,16.4
Thailand,2007,3.38686928833165,2.41405702,95.91094206,15.6
Thailand,2008,3.43163440550553,2.60726309,114.18922856,14.9
Thailand,2009,3.30956300398491,2.64681911,111.51077227,14.2
Thailand,2010,3.50502102595918,2.50096035,126.95728343,13.6
Thailand,2011,3.47490569938002,2.72706866,149.77379728,13.0
